group,group_label,measure,label,items,alpha_unweighted,n_complete
all_issp,All ISSP countries,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.6649261743565678,39563
all_issp,All ISSP countries,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.5797361294146445,39787
all_issp,All ISSP countries,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.7675105404252385,38805
all_issp,All ISSP countries,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.5964010816398849,41851
all_issp,All ISSP countries,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.626790687358814,40610
all_issp,All ISSP countries,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.57596121769948,37479
all_issp,All ISSP countries,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.8049002713247039,37129
all_issp,All ISSP countries,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.7039208624451393,35805
democracies,All democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.650796799029032,32787
democracies,All democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience","dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.5652286552742889,32883
democracies,All democracies,ascriptive_membership,Closed/ascriptive national membership,"born_important, religion_important, ancestry_important, born_not_effort",0.7645410315910519,32179
democracies,All democracies,civic_membership,Civic national membership,"citizenship_important, respect_institutions_important, feel_national_important",0.5757666166098546,34660
democracies,All democracies,national_superiority,National superiority and unconditional support,"world_better_if_like_us, country_better_than_most, support_country_wrong",0.5975148697524804,33710
democracies,All democracies,protective_sovereignty,Protectionist/sovereigntist nationalism,"limit_imports, oppose_international_enforcement, own_interests_even_conflict, no_foreign_land, national_tv_preference, intl_companies_damage",0.582033224445548,30946
democracies,All democracies,anti_immigrant_exclusion,Anti-immigrant exclusion,"immigrants_increase_crime, immigrants_bad_economy, immigrants_take_jobs, immigrants_not_improve_society, native_born_preference, reduce_immigration",0.8247535573070983,30726
democracies,All democracies,national_pride_non_democracy,"National pride, excluding pride in democracy","proud_political_influence, proud_economy, proud_sports, proud_arts, proud_history",0.6766698901959768,29077
non_democracies,All non-democracies,democracy_rights_all,"Democratic rights, all four ISSP items","dem_adequate_living, dem_minority_rights, dem_more_participation, dem_civil_disobedience",0.7404411006593057,6776
